Department,Department Code,Transfer Payment Program,Start Date,End Date,Type,Type of Appropriation,Fiscal Year for terms and conditions,Description,Expected Results,Fiscal year of last completed evaluation,Decision Following the results of last evaluation,Fiscal year of planned completion of next evaluation,General target recipient groups,Initiative to engage applicants and recipients,
Agriculture and Agri-Food Canada,1,Agricultural Greenhouse Gases Program,01/09/2010,Ongoing (subject to Minister's renewal every five years),Contribution,Voted appropriation annually through Estimates,2015?16 (Terms and conditions amended),"The Agricultural Greenhouse Gases Program helps organizations, academic institutions and other levels of government enhance the understanding and accessibility of agricultural technologies and beneficial management practices that can be adopted by farmers to mitigate greenhouse gas emissions in Canada. Research under this program aims to increase the understanding of the chemical, physical and biological processes that lead to greenhouse gas emissions (into the atmosphere) and nutrient losses (into surface water and groundwater) from agricultural systems.","The expected results are:

Information products are available to share with farmers through technology transfer; and
Program recipients make greenhouse gases mitigation technologies and beneficial management practices available to farmers.
The performance indicators that are used to monitor and report on the program include:

The number of information products such as factsheets and brochures that are developed; and
The number of newly developed technologies and beneficial management practices that are demonstrated through field days and workshops.",2014?15,Continuation,2019?20,"Non-profit, academic institutions, other levels of government (Provincial, Territorial and Municipal) and Indigenous groups.","Agriculture and Agri-Food Canada communication efforts may include news conferences or news releases as well as partnership opportunities with Environment and Climate Change Canada and Global Affairs Canada to exploit international presence for Canada. In addition, field days and workshops will be carried out under this initiative by recipients of Agricultural Greenhouse Gases Program funding.",
Agriculture and Agri-Food Canada,1,AgriScience Program,01/04/2018,31/03/2023,Contribution,Voted appropriation annually through Estimates,2017?18 (Terms and conditions approved),"The AgriScience program accelerates the pace of innovation in the sector by supporting industry-led research and development to increase market opportunities in the agriculture, agri-food and agri-based products sector.

The program is delivered through two types of initiatives: the AgriScience ? Clusters Component (Clusters) and the AgriScience ? Projects Component (Projects).

Clusters are national in scope and bring together scientific expertise from industry, academia and government to collaborate to address multiple industry priorities of a specific commodity (such as wheat, beef, et cetera) or cross-cutting issues (for example, bioproducts, food processing).

Projects may be individually led research projects or a small group of projects that are national, regional or local in scope.","The expected results are:

Support for science, research and innovation activities is provided across the agriculture and agri-food sector;
Industry participation in collaborative research, development and knowledge transfer is increased;
The agriculture and agri-food sector's knowledge base is increased;
Research and development supported innovations are generated and commercialized; and
The Canadian agriculture and agri-food sector is effective in transforming ideas into new products, processes or practices.
The performance indicators that are used to monitor and report on the program include:

The number of clusters and projects that receive funding;
Percentage of cluster and research projects that involve Research and Development collaboration;
The number of papers published in peer reviewed journals; and
The number of new technologies, products, practices, processes or systems that are utilized",2017?18,Continuation,2021-22,For-profit and not-for-profit organizations,,"Agriculture and Agri-Food Canada communications effort may include mail outs, news conferences or news releases.

Program clients are engaged through email, site visits, web presence or other outreach, and through project assessment and monitoring.

Additional efforts include broader industry engagement, including outreach to the series of Value Chain Roundtables, companies and industry associations."
Agriculture and Agri-Food Canada,1,AgriInnovate Program,01/04/2018,31/03/2023,Contribution,Voted appropriation annually through Estimates,2017?18 (Terms and conditions approved)," 
The AgriInnovate program accelerates the commercialization and adoption of innovative products and processes in the agricultural sector to increase sector competitiveness and sustainability. The program is intended to address both the financing gap present between moving agricultural, agri-food and agri-based research to commercialization, and to assist industry in mitigating the inherent risk in scaling-up products and processes.

The program provides repayable contributions to recipients.","The expected results are:

Support for innovation-related activities involving the adoption or commercialization of products or processes is provided across the agriculture and agri-food sector;
Innovations in the agriculture and agri-food sector are generated and commercialized; and
The competitiveness and productivity of participating firms is increased.
The performance indicators that are used to monitor and report on the program include:

The number of participating firms that receive funding;
The number of technologies, products, practices and services that are demonstrated; and
The number of new technologies, products, practices, processes and services that enter the market.",2017?18,Continuation,2022-23,For-profit organizations,"Agriculture and Agri-Food Canada communications effort may include mail outs, news conferences or news releases.

Program clients are also being engaged through email, site visits, web presence, videoconferences, teleconferences or other outreach and project assessment and monitoring.

Additional efforts include broader industry engagement, including outreach to the series of Value Chain Roundtables, the Innovation and CleanTech Hub and other related industry associations",
Agriculture and Agri-Food Canada,1,Agricultural Clean Technology Program,01/04/2018,31/03/2021,Contribution,Voted appropriation annually through Estimates,2017?18 (Terms and conditions approved)," 
The objective of the Agricultural Clean Technology Program is to promote sustainable growth in Canada's agriculture and agri-food sector while helping drive the change required to achieve a low carbon economy, through investments in the areas of precision agriculture and agri-based bioproducts.

The program provides non-repayable contributions to provincial and territorial governments to support activities along the innovation continuum - from research and development to commercialization, demonstration and adoption ? with the aim of accelerating and contributing to the advancement and adoption of clean technologies in Canadian agriculture.","results 
The expected results are an increased investment by provincial and territorial governments in clean technologies in the agriculture and agri-food sector, and increased development, demonstration, commercialization and adoption of clean technologies in agriculture.

The indicators used to measure the performance of the Agricultural Clean Technology Program in meeting these expected results are: the ratio of leveraged provincial and territorial investments against federal funding, and the number of agricultural clean technology projects that are supported through the Program.",Not Applicable ? new program,Not Applicable,2022?23,Eligible recipients are provincial and territorial governments in Canada.,"The provinces and territories will be engaged through videoconferences, teleconferences or other activities.",
Agriculture and Agri-Food Canada,1,AgriMarketing Program,01/04/2018,31/03/2023,Contribution,Voted appropriation annually through Estimates,2017?18 (Terms and conditions approved),"The goal of the Trade and Market Expansion service is to increase agriculture and agri-food trade by maintaining, re-opening and expanding market access, advancing agricultural interests internationally, and helping the industry take advantage of market opportunities.ÿ As part of Trade and Market Expansion, the AgriMarketing program provides matching non-repayable funding to industry to support industry-led market development activities that help the sector seize domestic and international opportunities, while leveraging Canada's reputation for high quality and safe food.","The expected results are: 
To maintain, increase and diversify exports to international markets and seize domestic market opportunities through industry-led promotional activities that differentiate Canadian products and producers, and leverage Canada's reputation for high quality and safe food.

The performance indicators, which are used to measure relevance and effectiveness of the programming include:

Number of projects approved;
Number of market development activities supported; and
Value ($) of agriculture and agri-food exports.",2015?16,Continuation,2019?20 Evaluability Assessment to determine forward evaluation work to be competed before 2023?24.,Industry related,Stakeholders were engaged as part of the Government's national consultations on the Canadian Agricultural Partnership.,
Agriculture and Agri-Food Canada,1,Canadian Agricultural Adaptation Program,28/05/2009,Ongoing (Subject to Minister's renewal every five years),Contribution,Voted appropriation annually through Estimates,2015-16 (Terms and conditions amended),"The Canadian Agricultural Adaptation Program supports the agricultural sector to adapt to new and emerging issues, opportunities and challenges in order to remain competitive. The program funds national or sector-wide projects to develop a new idea, product, niche, or market opportunity or respond to new and emerging issues.","The expected results are:

Help the sector develop tools and strategies to respond to changing circumstances, issues, and/or opportunities; and
Help the sector implement tools and strategies to respond to changing circumstances and/or emerging issues and/or opportunities.
The performance indicators that are used to monitor and report on the program include:

The number of tools and strategies developed by the sector to respond to changing circumstances and/or opportunities from 2014 to 2019; and
The number of tools and strategies to respond to changing circumstances and/or opportunities implemented by the sector from 2014 to 2019.",An evaluation of Agriculture and Agri-Food Canada?s Innovation and Adaptation Programs completed in 2014-15 included Canadian Agricultural Adaptation Program in its scope.,Continuation,2018-19,"Not-for-profit organizations and associations, including cooperatives, marketing boards and Indigenous groups.","Agriculture and Agri-Food Canada communications effort may include mail outs, news conferences or news releases. Program clients will also be engaged through email, site visits, web presence, videoconferences, teleconferences or other outreach and project assessment and monitoring.",
,,AgriProcessing Initiative,,,,,,,,,,,,,
,,Agricultural Innovation Program,,,,,,,,,,,,,
,,AgriInnovation Program - Enabling Commercialization and Adoption,,,,,,,,,,,,,
Atlantic Canada Opportunities Agency,12,Atlantic Innovation Fund,10/05/2011,Ongoing,Contribution,Voted appropriation annually through Estimates,2009-2010,"The Atlantic Innovation Fund (AIF) makes strategic investments in research and development (R&D) initiatives in the area of natural and applied sciences, as well as in social sciences, humanities, and arts and culture. Projects are expected to result in the successful adaptation or development as well as the commercialization of technology-based products, processes or services.

Contributions to non-profit organizations are non-repayable. Contributions to for-profit businesses to fund R&D projects that involve the commercialization of a product, process, technology or service are repayable, either conditionally or unconditionally.","Increase activity in and build capacity for innovation and R&D, which leads to technologies, products, processes or services that contribute to economic growth in Atlantic Canada (measured by indicators such as the dollar amount invested in R&D projects under this fund).
Increase the capacity for commercialization of R&D outputs (measured by indicators such as the dollar amount invested in commercialization projects and revenues resulting from commercialization).
Strengthen the region?s innovation capacity by supporting research, development and commercialization collaboration, as well as alliances among private-sector firms, universities, research institutions and other organizations in the Atlantic system of innovation, and by increasing their critical mass (measured by indicators such as the number of key collaborations created for technology development and commercialization).
Maximize benefits from national R&D programs (measured by calculating funds invested in AIF projects by other national programs)",2014-15,Continuation,"Evaluation of ACOA?s Research and Development, and Commercialization Programming, 2019-20","industry-related groups (for example, for-profit businesses, airport authorities, specific industry sectors); and
non-profit organizations (for example, foundations, NGOs, universities, research institutions, health-related entities)","ACOA engages proponents and recipients on a regular basis, either one-on-one or via industry associations. The communication strategy also includes the use of social media to inform and engage applicants and recipients",
