Department,Department Code,Program Code,DRF Program,Description EN,Description FR
Agriculture and Agri-Food Canada,1,BWO04,Agricultural Greenhouse Gases Program,"The Agricultural Greenhouse Gases Program helps organizations, academic institutions and other levels of government enhance the understanding and accessibility of agricultural technologies and beneficial management practices that can be adopted by farmers to mitigate greenhouse gas emissions in Canada. Research under this program aims to increase the understanding of the chemical, physical and biological processes that lead to greenhouse gas emissions from agricultural systems into surface water, ground water and the atmosphere.","Le Programme de lutte contre les gaz … effet de serre en agriculture aide les organisations, les ‚tablissements d?enseignement et les autres ‚chelons gouvernementaux … am‚liorer la compr‚hension et l?accessibilit‚ des technologies agricoles et des pratiques de gestion b‚n‚fiques que les agriculteurs peuvent adopter pour att‚nuer des ‚missions de gaz … effet de serre au Canada. La recherche men‚e dans le cadre de ce programme vise … am‚liorer la compr‚hension des processus chimiques, physiques et biologiques qui produisent des ‚missions de gaz … effet de serre en agriculture dans les eaux de surface, les eaux souterraines et l?atmosphŠre."
Agriculture and Agri-Food Canada,1,BWO02,AgriScience,"The AgriScience program accelerates the pace of innovation in the sector by supporting industry-led research and development to increase market opportunities in the agriculture, agri-food and agri-based products sector. The program is delivered through two types of initiatives: the AgriScience ? Clusters Component (Clusters) and the AgriScience ? Projects Component (Projects). Clusters are national in scope and bring together scientific expertise from industry, academia and government to collaborate to address multiple industry priorities of a specific commodity (such as wheat, beef, etc.) or cross-cutting issues (e.g.; bioproducts, food processing). Projects may be individually led research projects or a small group of projects that are national, regional or local in scope.","Le programme Agri-science acc‚lŠre le rythme de l?innovation dans le secteur en appuyant les activit‚s de recherche et d‚veloppement de l?industry afin d?accroŒtre les d‚bouch‚s dans le secteur de l?agriculture, de l?agroalimentaire et des produits agro-industriels. Il comporte deux types d?initiatives : Agri science ? Volet des grappes (grappes) et Agri science ? Volet des projets (projets). Les grappes sont de port‚e nationale et r‚unissent les scientifiques de l?industrie, des universit‚s et du gouvernement pour collaborer en vue de r‚pondre aux multiples priorit‚s de l?industrie concernant un produit donn‚ (bl‚, b?uf, etc.) ou des questions intersectorielles (bioproduits, transformation des aliments, etc.). Les projets peuvent ˆtre des projets de recherche men‚s individuellement ou un petit groupe de projets de port‚e nationale, r‚gionale ou locale."
Agriculture and Agri-Food Canada,1,BWO03,AgriInnovate,"The AgriInnovate program accelerates the commercialization and adoption of innovative products and processes in the agricultural sector to increase sector competitiveness and sustainability. The program is intended to address both the financing gap present between moving agricultural, agri-food and agri-based research to commercialization, and to assist industry in mitigating the inherent risk in scaling-up products and processes.","Le programme Agri-innover acc‚l‚re la commercialisation et l?adoption de produits et proc‚d‚s innovateurs dans le secteur agricole pour accroŒtre la comp‚titivit‚ et la durabilit‚ du secteur. Le programme vise … combler l?‚cart financier entre la recherche sur les produits agricoles, agroalimentaires et agro industriels et leur commercialisation et … aider l?industrie … att‚nuer les risques inh‚rents au perfectionnement des produits et proc‚d‚s."
Agriculture and Agri-Food Canada,1,BWO06,"Federal, Provincial and Territorial Cost-shared Science, Research, Innovation and Environment","Under Federal, Provincial and Territorial Cost-shared Science, Research, Innovation and Environment, transfer payments are provided to the provinces and territories for programming to accelerate the pace of innovation in the Canadian agriculture and agri-food sector. A key focus of such innovation is the research, development and commercialization of products, practices, processes and systems that enhance the productivity, competitiveness, economic growth and adaptability to environment and climate change in the sector.","Dans le cadre des programmes … frais partag‚s f‚d‚ral, provinciaux et territoriaux li‚s … la science, … la recherche, … l?innovation et … l?environnement, des paiements de transfert sont attribu‚s aux provinces et territoires afin de permettre aux programmes d?acc‚l‚rer le rythme d?innovation du secteur canadien de l?agriculture et de l?agroalimentaire. L?un des principaux objectifs de cette innovation est la recherche, le d‚veloppement et la commercialisation de produits, pratiques, proc‚d‚s et systŠmes qui visent … am‚liorer la productivit‚, la comp‚titivit‚, la croissance ‚conomique et l?adaptabilit‚ … l?environnement et au changement climatique dans le secteur."
Agriculture and Agri-Food Canada,1,BWN01,Trade and Market Expansion,"The goal of the Trade and Market Expansion service is to increase agriculture and agri-food trade by maintaining, re-opening and expanding market access, advancing agricultural interests internationally, and helping the industry take advantage of market opportunities. Through the AgriMarketing program, funding is provided to industry to support industry-led market development activities that help leverage Canada?s reputation for high quality and safe food.","L?objectif du service de la Croissance du commerce et des march‚s est d?accroŒtre le commerce des produits agricoles et agroalimentaires en en assurant la r‚ouverture, le maintien et la croissance des march‚s, en d‚fendant les int‚rˆts agricoles … l?‚chelle internationale et en aidant l?industrie … tirer parti des d‚bouch‚s. ? travers le programme Agri-marketing, les fonds sont offerts … l?industrie afin de supporter des activit‚s de d‚veloppement des march‚s dirig‚es par l?industrie qui misent sur la r‚putation du Canada comme producteur d?aliments de grande qualit‚ et sans danger pour la sant‚."
Agriculture and Agri-Food Canada,1,BWO05,Canadian Agricultural Adaptation Program,"The Canadian Agricultural Strategic Priorities Program supports the agricultural sector to adapt to new and emerging issues, opportunities and challenges in order to remain competitive. The program funds national or sector-wide projects to develop a new idea, product, niche, or market opportunity or respond to new and emerging issues.","Le Programme canadien des priorit‚s strat‚giques de l'agriculture aide le secteur agricole … s?adapter aux questions nouvelles et ‚mergentes, aux possibilit‚s et aux d‚fis afin de demeurer concurrentiel. Le pgrogramme finance des projets nationaux ou sectoriels pour d‚velopper une nouvelle id‚e, un nouveau produit, un cr‚neau ou un d‚bouch‚ ou pour r‚pondre … des questions nouvelles et ‚mergentes."
Agriculture and Agri-Food Canada,1,BWO00,Science and Innovation,"Agriculture and Agri-Food Canada conducts scientific research, develops new knowledge and new technologies, and transfers the results to the agriculture and agri-food sector. Agriculture and Agri-Food Canada also works with industry and other partners to strengthen the sector?s capacity to develop and adopt innovative practices, products and processes.","Agriculture et Agroalimentaire Canada mŠne des recherches scientifiques, d‚veloppe de nouvelles connaissances et de nouvelles technologies et transfŠre les r‚sultats au secteur de l?agriculture et de l?agroalimentaire. Agriculture et Agroalimentaire Canada travaille ‚galement avec l'industrie et d'autres partenaires pour renforcer la capacit‚ du secteur … d‚velopper et … adopter des pratiques, des produits et des proc‚d‚s novateurs."
Atlantic Canada Opportunities Agency,12,BED04,Innovation Ecosystem,"The Atlantic Canada Opportunities Agency (ACOA) develops and facilitates strategic networks, partnerships and initiatives to develop an innovation ecosystem. Activities that are key to this ecosystem include networking, engagement and coordination activities to foster collaboration with various stakeholders, such as other federal departments, provinces, industry associations and educational institutions. ACOA aims to increase awareness, knowledge, influence and capacity to innovate in new and traditional sectors, pursue new opportunities, and solve challenges. This program helps build the ecosystem by supporting competitive clusters and business incubators and accelerators, and by funding innovation infrastructure. It helps communities of interest, such as business associations and development organizations, to promote innovation and mitigate risks, including in rural areas. ACOA engages with key stakeholders, networks and partnerships to ensure that innovation challenges and opportunities identified by small and medium-sized enterprises (SMEs) are addressed in a coordinated manner. It lays the foundation for SMEs to successfully innovate and commercialize technologies. This program is well aligned with the ACOA Act and its activities, including support for enterprises and business associations, and other activities aimed at improving the business environment.","L?Agence de promotion ‚conomique du Canada atlantique (APECA) cr‚e et soutient des r‚seaux, des partenariats et des initiatives strat‚giques afin d?‚tablir un ‚cosystŠme d?innovation. Elle entreprend des activit‚s essentielles pour cet ‚cosystŠme, soit le r‚seautage, la mobilisation et la coordination pour promouvoir la collaboration avec divers intervenants, tels que d?autres ministŠres, les provinces, des associations industrielles et des ‚tablissements d?enseignement. L?Agence vise … accroŒtre la sensibilisation, les connaissances, l?influence et la capacit‚ d?innover des nouveaux secteurs et des secteurs traditionnels, ainsi qu?… aider ceux-ci … saisir les occasions et … relever des d‚fis. Le programme aide … mettre en place l?‚cosystŠme en soutenant les grappes industrielles et les incubateurs et les acc‚l‚rateurs d?entreprises, et en finan‡ant l?infrastructure d?innovation. Il aide les communaut‚s d?int‚rˆts, comme les associations de gens d?affaires et les organismes de d‚veloppement, … promouvoir l?innovation et … att‚nuer les risques, y compris dans les r‚gions rurales. L?APECA collabore avec les principaux intervenants, r‚seaux et partenariats pour veiller … ce que les d‚fis et les possibilit‚s soulev‚s par les petites et moyennes entreprises (PME) en matiŠre d?innovation soient trait‚s de maniŠre coordonn‚e, pour poser ainsi les jalons permettant aux PME d?innover et de commercialiser des technologies avec succŠs. Ce programme s?harmonise bien avec la Loi sur l?APECA et les activit‚s connexes, dont le soutien des entreprises et des associations de gens d?affaires, et d?autres activit‚s li‚es … l?am‚lioration du contexte commercial."
Atlantic Canada Opportunities Agency,12,BED03,Research and Development and Commercialization,"The Atlantic Canada Opportunities Agency (ACOA) plays an important role in ensuring that Atlantic Canada continues to maximize benefits from national research and development (R&D) programs and builds on the momentum of rising business expenditures in R&D in the region. R&D and commercialization is fundamental to increasing the region?s competitiveness and to closing the productivity gap with the rest of the country. The Agency invests in innovation by supporting the development and commercialization of new products, services and processes. ACOA also provides support for the adoption and adaptation of leading-edge technologies. Clients include businesses, universities and research institutes. With ACOA?s financial assistance, small and medium-sized enterprises (SMEs) and institutions can acquire the resources (equipment, etc.) and expertise needed to develop new or enhanced technologies, products, processes and services for commercial use. SMEs and institutions create R&D partnerships to pursue institution or industry-initiated product/process/service concepts that lead to intellectual property development and advances innovation in the region. This is well aligned with the ACOA Act and its activities, including support for enterprises and other activities aimed at improving the business environment.","Le r“le de l?Agence de promotion ‚conomique du Canada atlantique (APECA) est d‚terminant pour que le Canada atlantique continue … tirer le maximum des programmes nationaux de recherche-d‚veloppement (R-D) et … miser sur le nombre accru des d‚penses d?entreprises dans la R-D dans la r‚gion. La R-D et la commercialisation sont fondamentales pour accroŒtre la comp‚titivit‚ de la r‚gion et combler l?‚cart de productivit‚ entre la r‚gion et le reste du pays. L?Agence investit dans l?innovation en appuyant la mise au point et la commercialisation de nouveaux produits, services et proc‚d‚s. Elle appuie ‚galement l?adoption et l?adaptation de technologies de pointe. Les clients comptent des entreprises, des universit‚s et des ‚tablissements de recherche. Grƒce … l?aide financiŠre de l?APECA, les petites et moyennes entreprises (PME) et les ‚tablissements peuvent acqu‚rir les ressources (‚quipement, etc.) et l?expertise requises pour cr‚er ou am‚liorer des technologies, des produits, des proc‚d‚s et des services … usage commercial. Les PME et les ‚tablissements cr‚ent des partenariats de R-D pour mettre au point des produits, des proc‚d‚s et des services con‡us par des ‚tablissements ou l?industrie. Ces activit‚s mŠnent au d‚veloppement de la propri‚t‚ intellectuelle et favorisent l?innovation dans la r‚gion. Ce programme s?harmonise bien avec la Loi sur l?APECA et les activit‚s connexes, dont le soutien des entreprises, et d?autres activit‚s li‚es … l?am‚lioration du contexte commercial."
Atlantic Canada Opportunities Agency,12,BED02,Diversified Communities,"Economic development in rural areas continues to be a challenge in light of the declining traditional industries, population shifts and infrastructure issues. These issues emphasize the need to support initiatives that increase competitiveness of Atlantic Canada's rural communities and businesses. Such initiatives include: strategic planning activities related to economic development of geographic regions and sectors of interest, and infrastructure required to attract and retain labour; transportation and other types of infrastructure that supports economic activity and specific sectors; and marketing and skills development. Basic infrastructure such as transportation access, water/sewage, broadband and telecommunication and community/recreational facilities are considered essential to the development of local and regional economies. The key purpose of these types of projects is to revitalize and strengthen rural community infrastructure by improving community facilities, including new construction that are or will be used, in whole or in part, for activities such as tourism-related events, trade shows, business meetings, training sessions, symposiums and conferences that will lead to diversified communities. This program is well aligned with the ACOA Act and the types of activities mandated under the Act, which include support for enterprises, and support for business associations and other activities related to improving the business environment.","Le d‚clin des industries traditionnelles, les changements d‚mographiques et les problŠmes d?infrastructure continuent … rendre difficile le d‚veloppement ‚conomique des r‚gions rurales. Ces difficult‚s mettent en ‚vidence le besoin d?appuyer les initiatives qui accroissent la comp‚titivit‚ des collectivit‚s et des entreprises des r‚gions rurales du Canada atlantique. Cela comprend des activit‚s de planification strat‚gique li‚es au d‚veloppement ‚conomique des secteurs d?int‚rˆt et des r‚gions g‚ographiques, et l?infrastructure requise pour attirer et conserver la main-d??uvre; les infrastructures de transport et les autres infrastructures qui soutiennent l?activit‚ ‚conomique et des secteurs particuliers; et le marketing et le perfectionnement des comp‚tences. Les infrastructures de base, notamment l?accŠs au transport, les services d?approvisionnement en eau et d?‚gouts, l?accŠs … large bande et aux t‚l‚communications, et les installations communautaires et r‚cr‚atives, sont consid‚r‚es comme essentielles au d‚veloppement ‚conomique local et r‚gional. Le principal objectif de ces types de projets consiste … revitaliser et … consolider l?infrastructure des collectivit‚s rurales en am‚liorant les installations locales, notamment par la construction de nouveaux bƒtiments, qui sont ou qui seront utilis‚s en totalit‚ ou en partie pour des activit‚s comme des ‚vŠnements touristiques, des salons professionnels, des r‚unions d?affaires, des s‚ances de formation, des symposiums et des congrŠs qui mŠneront … des collectivit‚s diversifi‚es. Ce programme s?harmonise bien avec la Loi sur l?Agence de promotion ‚conomique du Canada atlantique et les types d?activit‚s pr‚vus par celle-ci, dont le soutien des entreprises et des associations de gens d?affaires, ainsi que d?autres activit‚s li‚es … l?am‚lioration du contexte commercial."
