Department,Department Code,Transfer Payment Program,Tranfer Payment Authority,Type,Statutory
Agriculture and Agri-Food Canada,1,Agricultural Greenhouse Gases Program,Contributions in support of the Agricultural Greenhouse Gases program,Contribution,No
Agriculture and Agri-Food Canada,1,AgriScience Program,Contributions in support of the AgriScience program under the Canadian Agricultural Partnership,Contribution,No
Agriculture and Agri-Food Canada,1,AgriInnovate Program,Contributions in support of the AgriInnovate program under the Canadian Agricultural Partnership,Contribution,No
Agriculture and Agri-Food Canada,1,Agricultural Clean Technology Program,Contributions in support of the Agricultural Clean Technology program,Contribution,No
Agriculture and Agri-Food Canada,1,AgriMarketing Program,Contributions in support of the AgriMarketing program under the Canadian Agricultural Partnership,Contribution,No
Agriculture and Agri-Food Canada,1,AgriMarketing Program,Contribution payments for the AgriMarketing program under Growing Forward 2,Contribution,No
Agriculture and Agri-Food Canada,1,Canadian Agricultural Adaptation Program,Contributions to support the Canadian Agricultural Adaptation program,Contribution,No
Agriculture and Agri-Food Canada,1,AgriProcessing Initiative,Programming related to the Agricultural Flexibility Fund,Contribution,No
Agriculture and Agri-Food Canada,1,Agricultural Innovation Program,Contributions under the Agricultural Innovation program,Contribution,No
Agriculture and Agri-Food Canada,1,AgriInnovation Program - Enabling Commercialization and Adoption,Contribution payments for the AgriInnovation program under Growing Forward 2,Contribution,No
Atlantic Canada Opportunities Agency,12,Atlantic Innovation Fund,Contributions for the Atlantic Innovation Fund,Contribution,No
Atlantic Canada Opportunities Agency,12,Business Development Program,Contributions under the Business Development Program,Contribution,No
Atlantic Canada Opportunities Agency,12,Community Futures Program,Contributions under the Community Futures program,Contribution,No
Atlantic Canada Opportunities Agency,12,Regional Growth Through Innovation Program,Contributions under the Regional Economic Growth through Innovation program,Contribution,No
Atlantic Canada Opportunities Agency,12,Regional Growth Through Innovation Program,Grants under the Regional Economic Growth through Innovation program,Grant,No
Canada Economic Development for Quebec Regions,141,Quebec Economic Development,Contributions under the Quebec Economic Development Program,Contribution,No
Canada Economic Development for Quebec Regions,141,Quebec Economic Development,Grants under the Quebec Economic Development Program,Grant,No
Canada Economic Development for Quebec Regions,141,Community Futures Program,Contributions under the Community Futures Program,Contribution,No
Canada Economic Development for Quebec Regions,141,Regional Growth Through Innovation Program,Contributions under the Regional Economic Growth through Innovation program,Contribution,No
Canada Economic Development for Quebec Regions,141,Regional Growth Through Innovation Program,Grants under the Regional Economic Growth through Innovation program,Grant,No
Canada Institutes of Health Research,74,Research Projects and Personnel Support,Grants for research projects and personnel support,Grant,No
Canadian Heritage,122,Canada Book Fund,Contributions to the Canada Book Fund,Contribution,No
Canadian Heritage,122,Canada Book Fund,Grants to the Canada Book Fund,Grant,No
Canadian Heritage,122,Canada Periodical Fund,Contributions to the Canada Periodical Fund,Contribution,No
Canadian Heritage,122,Canada Periodical Fund,Grants to the Canada Periodical Fund,Grant,No
Canadian Heritage,122,Canada Music Fund,Contributions to the Canada Music Fund,Contribution,No
Canadian Heritage,122,Canada Music Fund,Grants to the Canada Music Fund,Grant,No
Canadian Heritage,122,Canada Media Fund,Contributions to support the Canada Media Fund,Contribution,No
Canadian Northern Economic Development Agency,86,Aboriginal Participation in the Northern Economy,Contributions to support Aboriginal participation in the northern economy,Contribution,No
Canadian Northern Economic Development Agency,86,Promoting Regional Development in Canada's Three Territories,Contributions for promoting regional development in Canada's three territories,Contribution,No
Canadian Northern Economic Development Agency,86,Regional Growth Through Innovation,Contributions under the Regional Economic Growth through Innovation program,Contribution,No
Canadian Northern Economic Development Agency,86,Regional Growth Through Innovation,Grants under the Regional Economic Growth through Innovation program,Grant,No
Canadian Space Agency,95,"Research, Awareness and Learning in Space Science and Technology","Class Contribution Program to Support Research, Awareness and Learning in Space Science and Technology",Contribution,No
